Da­tum,Auf­ru­fe
2020-11-29,822
2020-11-30,1055
2020-12-01,771
2020-12-02,893
2020-12-03,870
2020-12-04,954
2020-12-05,839
2020-12-06,848
2020-12-07,905
2020-12-08,809
2020-12-09,1037
2020-12-10,1094
2020-12-11,1008
2020-12-12,728
2020-12-13,816
2020-12-14,887
2020-12-15,818
2020-12-16,1064
2020-12-17,944
2020-12-18,893
2020-12-19,882
2020-12-20,973
2020-12-21,837
2020-12-22,963
2020-12-23,824
2020-12-24,704
2020-12-25,871
2020-12-26,752
2020-12-27,931
2020-12-28,819
2020-12-29,884
2020-12-30,843
2020-12-31,706
